Edad,Hombres,Mujeres,Categoría
85,-0.1928935,0.31697245000000002,Total España
86,-0.17176678000000001,0.28878733000000001,Total España
87,-0.15215873999999999,0.26718879000000001,Total España
88,-0.13546168,0.24957124999999999,Total España
89,-0.11662245,0.22450354,Total España
90,-0.093595800000000007,0.187556,Total España
91,-0.075584380000000007,0.16497379000000001,Total España
92,-0.057337039999999999,0.13239482999999999,Total España
93,-0.044378750000000002,0.10868993,Total España
94,-0.030990770000000001,0.082383680000000001,Total España
95,-0.02290238,0.064846189999999998,Total España
96,-0.0155175,0.047831070000000003,Total España
97,-0.01095514,0.035091839999999999,Total España
98,-0.0073911899999999997,0.024551650000000001,Total España
99,-0.0047308699999999999,0.017381629999999999,Total España
100+,-0.0092300400000000001,0.032136629999999999,Total España
0,-0.24891358999999999,0.23597768999999999,Zonas rurales
1,-0.27184033000000002,0.25644400000000001,Zonas rurales
2,-0.28492535000000002,0.27057283999999998,Zonas rurales
3,-0.29797309,0.28667747999999998,Zonas rurales
4,-0.31486059,0.30065720000000001,Zonas rurales
5,-0.33021964999999998,0.31180369000000002,Zonas rurales
6,-0.35098418999999997,0.32954862000000001,Zonas rurales
7,-0.34953030000000002,0.32671539999999999,Zonas rurales
8,-0.34300642999999997,0.32783377000000002,Zonas rurales
9,-0.37428372999999998,0.34867288000000002,Zonas rurales
10,-0.37704239000000001,0.36268988000000002,Zonas rurales
11,-0.38095670999999998,0.37133865999999999,Zonas rurales
12,-0.39247599999999999,0.36831903999999999,Zonas rurales
13,-0.41383702,0.38971734000000002,Zonas rurales
14,-0.40228045000000001,0.37637135999999999,Zonas rurales
15,-0.40090111,0.37666959999999999,Zonas rurales
16,-0.40477816,0.37454468000000002,Zonas rurales
17,-0.40369706,0.37640864000000002,Zonas rurales
18,-0.4086552,0.38401361000000001,Zonas rurales
19,-0.41383702,0.37268072000000002,Zonas rurales
20,-0.42654924,0.39012741000000001,Zonas rurales
21,-0.44511431000000001,0.39817973000000001,Zonas rurales
22,-0.44451784,0.40563558,Zonas rurales
23,-0.44884224,0.39404172999999998,Zonas rurales
24,-0.47217904999999999,0.41365062000000002,Zonas rurales
25,-0.45540339000000002,0.40310058999999998,Zonas rurales
26,-0.47273823999999998,0.41193576999999998,Zonas rurales
27,-0.47381933999999998,0.41842235999999999,Zonas rurales
28,-0.48880560000000001,0.43292398999999998,Zonas rurales
29,-0.51762246000000001,0.44433145000000002,Zonas rurales
30,-0.51650408999999997,0.4517873,Zonas rurales
31,-0.53339159000000003,0.45275655999999997,Zonas rurales
32,-0.54621565000000005,0.46338115000000002,Zonas rurales
33,-0.55900243999999999,0.47363294,Zonas rurales
34,-0.55572186000000001,0.47586970000000001,Zonas rurales
35,-0.57890956000000005,0.48369834,Zonas rurales
36,-0.57391413999999996,0.48955117999999997,Zonas rurales
37,-0.60463224999999998,0.50681147999999998,Zonas rurales
38,-0.61961851000000001,0.52038112999999997,Zonas rurales
39,-0.65220058000000003,0.54099655999999996,Zonas rurales
40,-0.68407434,0.56660741000000003,Zonas rurales
41,-0.72209917999999995,0.59490235999999996,Zonas rurales
42,-0.73272377,0.60891936000000002,Zonas rurales
43,-0.76400106000000001,0.63650600999999996,Zonas rurales
44,-0.78297620000000001,0.63408286000000003,Zonas rurales
45,-0.81369431000000003,0.66304883999999997,Zonas rurales
46,-0.80936991999999996,0.66584478000000002,Zonas rurales
47,-0.80884800999999995,0.66297428000000003,Zonas rurales
48,-0.81518548000000002,0.66360803000000002,Zonas rurales
49,-0.81999451000000001,0.67035557000000001,Zonas rurales
50,-0.83281857000000004,0.68329147000000001,Zonas rurales
51,-0.83643466,0.69372966999999996,Zonas rurales
52,-0.86994870999999996,0.71304031999999995,Zonas rurales
53,-0.88083425000000004,0.72787745999999998,Zonas rurales
54,-0.90372370999999996,0.73727184000000001,Zonas rurales
55,-0.89339736000000003,0.74961127000000005,Zonas rurales
56,-0.90267989000000004,0.75486765,Zonas rurales
57,-0.93429269999999998,0.78696507999999998,Zonas rurales
58,-0.92273612999999999,0.75833461999999996,Zonas rurales
59,-0.90845818,0.74222997999999996,Zonas rurales
60,-0.90879368999999999,0.74957399000000002,Zonas rurales
61,-0.90394739000000002,0.74830649999999999,Zonas rurales
62,-0.89041501999999995,0.71289119999999995,Zonas rurales
63,-0.85462693000000001,0.68657204999999999,Zonas rurales
64,-0.82577279000000003,0.67374798999999996,Zonas rurales
65,-0.76459752999999997,0.62804362000000002,Zonas rurales
66,-0.73410310000000001,0.59687816000000005,Zonas rurales
67,-0.70215477999999998,0.58178006000000004,Zonas rurales
68,-0.70092456000000003,0.57801486000000002,Zonas rurales
69,-0.69466165000000002,0.58629085000000003,Zonas rurales
70,-0.63311360000000005,0.55344782999999997,Zonas rurales
71,-0.62125878999999995,0.54744587,Zonas rurales
72,-0.61805277999999997,0.57417509,Zonas rurales
73,-0.64015937999999994,0.60504232000000002,Zonas rurales
74,-0.57782845999999999,0.56041905000000003,Zonas rurales
75,-0.53972905999999998,0.53916987000000005,Zonas rurales
76,-0.55333599,0.57890956000000005,Zonas rurales
77,-0.53607568999999999,0.54565646000000001,Zonas rurales
78,-0.51009205000000002,0.55982257999999996,Zonas rurales
79,-0.44030529000000002,0.49875915999999998,Zonas rurales
80,-0.40239227999999999,0.46901030999999999,Zonas rurales
81,-0.46401489000000001,0.56906783999999999,Zonas rurales
82,-0.28708755000000002,0.36190700999999997,Zonas rurales
83,-0.31463691999999999,0.40779778,Zonas rurales
84,-0.35542042000000001,0.47840469000000002,Zonas rurales
85,-0.38759241999999999,0.53581473999999996,Zonas rurales
86,-0.33950217999999999,0.48992397999999998,Zonas rurales
87,-0.31292207,0.46394034000000001,Zonas rurales
88,-0.28492535000000002,0.448544,Zonas rurales
89,-0.25674223000000002,0.40257868000000002,Zonas rurales
90,-0.2113361,0.34255908000000002,Zonas rurales
91,-0.17879131000000001,0.30583901000000002,Zonas rurales
92,-0.13081291,0.24939822,Zonas rurales
93,-0.1049411,0.20969581000000001,Zonas rurales
94,-0.076236079999999998,0.15113009999999999,Zonas rurales
95,-0.059274019999999997,0.12898622000000001,Zonas rurales
96,-0.03821124,0.094055559999999996,Zonas rurales
97,-0.02974885,0.068183759999999996,Zonas rurales
98,-0.02009352,0.05163177,Zonas rurales
99,-0.01450163,0.035974480000000003,Zonas rurales
100+,-0.022143880000000001,0.067400890000000005,Zonas rurales
0,-0.37477345000000001,0.34898700999999999,Grandes ciudades
1,-0.37114947999999998,0.35521448,Grandes ciudades
2,-0.38543603999999998,0.36409778999999998,Grandes ciudades
3,-0.39201675000000002,0.37744237000000003,Grandes ciudades
4,-0.41937313999999998,0.39234382000000001,Grandes ciudades
5,-0.43393443999999998,0.41123556,Grandes ciudades
6,-0.44323639999999997,0.42362508999999998,Grandes ciudades
7,-0.44654638000000002,0.42546978000000002,Grandes ciudades
8,-0.44092071999999999,0.41903298999999999,Grandes ciudades
9,-0.45888357000000002,0.43656410000000001,Grandes ciudades
10,-0.46360651000000003,0.44743601999999999,Grandes ciudades
11,-0.47208423999999999,0.44850880999999998,Grandes ciudades
12,-0.48523258000000002,0.45295700999999999,Grandes ciudades
13,-0.50046111000000004,0.47404668,Grandes ciudades
14,-0.48727352000000002,0.45634549000000002,Grandes ciudades
15,-0.47930602,0.45974704999999999,Grandes ciudades
16,-0.47459616999999998,0.46202347999999999,Grandes ciudades
17,-0.48073206000000002,0.4587135,Grandes ciudades
18,-0.48981161000000001,0.46852568999999999,Grandes ciudades
19,-0.49104140000000002,0.46986014999999998,Grandes ciudades
20,-0.50089284000000001,0.48011715999999999,Grandes ciudades
21,-0.52186476999999998,0.49619606999999999,Grandes ciudades
22,-0.51712875000000003,0.51010321999999997,Grandes ciudades
23,-0.51792680999999996,0.51667085000000001,Grandes ciudades
24,-0.54636909,0.55987067000000001,Grandes ciudades
25,-0.56418802999999995,0.58251721000000001,Grandes ciudades
26,-0.58559170000000005,0.60984744000000002,Grandes ciudades
27,-0.61578708999999998,0.64848130999999998,Grandes ciudades
28,-0.64513209000000005,0.67269780999999995,Grandes ciudades
29,-0.67068304000000001,0.69132788999999994,Grandes ciudades
30,-0.66367058999999995,0.67889911000000003,Grandes ciudades
